Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Puerto Rico,PRI,3.96,4.73,5.3,5.86,6.29,6.16,5.73,5.97,6.6,6.6,6.9,7.26,7.03,6.4,5.74,4.24,5.24
Qatar,QAT,6.85,6.79,5.51,3.81,6.23,13.16,16.61,14.39,10.27,6.71,4.26,2.54,1.48,0.7,0.34,0.18,0.18
Romania,ROU,5.37,5.2,5.48,5.28,5.28,5.49,7.13,6.74,7.91,7.67,7.94,5.4,6.52,6.15,4.69,3.17,4.58
Russian Federation,RUS,5.8,6.46,5.55,4.99,4.83,6.31,8.69,8.33,7.42,6.82,6.04,6.91,6.85,5.53,3.85,1.89,3.74
Rwanda,RWA,14.16,12.9,12.29,11.03,9.15,8.17,7.59,6.6,4.59,3.38,2.67,2.4,1.97,1.36,0.8,0.48,0.46
Samoa,WSM,13.57,13.07,11.27,9.48,8.29,7.58,5.82,5.26,5.24,4.83,4.15,3.61,2.81,2.03,1.3,0.89,0.81
San Marino,SMR,3.47,4.81,5.12,5.1,5.03,4.75,5.01,6.06,7.67,8.82,9.22,8.53,6.75,5.56,4.8,3.64,5.67
Sao Tome and Principe,STP,13.9,13.82,12.89,10.99,8.27,6.69,6.1,6.23,5.31,4.1,3.24,2.68,1.98,1.41,0.91,0.72,0.75
Saudi Arabia,SAU,9.07,9.09,8.46,7.77,7.5,8.71,8.6,9.53,9.92,7.86,5.49,3.48,2.05,1.03,0.57,0.41,0.46
Senegal,SEN,15.41,14.18,12.5,10.65,8.98,7.73,6.73,5.7,4.64,3.61,2.81,2.2,1.7,1.31,0.89,0.58,0.38
Serbia,SRB,4.74,4.85,4.58,5.26,5.21,6.02,6.7,7.13,7.56,7.23,6.9,6.75,6.46,6.58,5.52,3.78,4.72
Seychelles,SYC,8.14,7.81,7.34,6.53,7.05,8.01,7.84,7.7,8,7.13,6.29,5.86,4.58,2.89,1.89,1.32,1.62
Sierra Leone,SLE,14.27,13.27,12.24,10.99,9.5,8.01,6.78,5.68,4.7,3.87,3.15,2.5,1.88,1.33,0.91,0.55,0.35
Singapore,SGP,4.25,3.79,4.12,4.57,6.82,7.47,7.49,7.9,8.08,8.37,8.05,8.26,7.62,6.04,3.18,1.71,2.28
